LECROYWS3054,13845,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,30-Nov-2016 16:28:51,0                 
Time,Ampl
-4.9647e-006,0.011
-4.9642e-006,0.0116667
-4.9637e-006,0.0136667
-4.9632e-006,0.013
-4.9627e-006,0.0136667
-4.9622e-006,0.011
-4.9617e-006,0.0136667
-4.9612e-006,0.0123333
-4.9607e-006,0.0103333
-4.9602e-006,0.005
-4.9597e-006,0.007
-4.9592e-006,0.009
-4.9587e-006,0.005
-4.9582e-006,0.00633333
-4.9577e-006,0.00833333
-4.9572e-006,0.00833333
-4.9567e-006,0.0103333
-4.9562e-006,0.011
-4.9557e-006,0.0163333
-4.9552e-006,0.019
-4.9547e-006,0.0163333
-4.9542e-006,0.015
-4.9537e-006,0.0176667
-4.9532e-006,0.017
-4.9527e-006,0.0156667
-4.9522e-006,0.0123333
-4.9517e-006,0.0143333
-4.9512e-006,0.0143333
-4.9507e-006,0.0143333
-4.9502e-006,0.009
-4.9497e-006,0.00833333
-4.9492e-006,0.0116667
-4.9487e-006,0.00833333
-4.9482e-006,0.00566667
-4.9477e-006,0.00766667
-4.9472e-006,0.007
-4.9467e-006,0.00766667
-4.9462e-006,0.00766667
-4.9457e-006,0.011
-4.9452e-006,0.015
-4.9447e-006,0.015
-4.9442e-006,0.0116667
-4.9437e-006,0.0136667
-4.9432e-006,0.0136667
-4.9427e-006,0.0136667
-4.9422e-006,0.011
-4.9417e-006,0.0116667
-4.9412e-006,0.0123333
-4.9407e-006,0.0116667
-4.9402e-006,0.009
-4.9397e-006,0.005
-4.9392e-006,0.00833333
-4.9387e-006,0.00833333
-4.9382e-006,0.00233333
-4.9377e-006,0.005
-4.9372e-006,0.00433333
-4.9367e-006,0.00633333
-4.9362e-006,0.00633333
-4.9357e-006,0.00766667
-4.9352e-006,0.0116667
-4.9347e-006,0.015
-4.9342e-006,0.00966667
-4.9337e-006,0.009
-4.9332e-006,0.00966667
-4.9327e-006,0.00966667
-4.9322e-006,0.00833333
-4.9317e-006,0.005
-4.9312e-006,0.007
-4.9307e-006,0.00833333
-4.9302e-006,0.007
-4.9297e-006,0.00233333
-4.9292e-006,0.00433333
-4.9287e-006,0.00633333
-4.9282e-006,0.001
-4.9277e-006,0.001
-4.9272e-006,0.003
-4.9267e-006,0.00366667
-4.9262e-006,0.00566667
-4.9257e-006,0.007
-4.9252e-006,0.0103333
-4.9247e-006,0.0156667
-4.9242e-006,0.0136667
-4.9237e-006,0.011
-4.9232e-006,0.0136667
-4.9227e-006,0.0136667
-4.9222e-006,0.0136667
-4.9217e-006,0.011
-4.9212e-006,0.011
-4.9207e-006,0.011
-4.9202e-006,0.009
-4.9197e-006,0.00433333
-4.9192e-006,0.00166667
-4.9187e-006,0.00566667
-4.9182e-006,0.00166667
-4.9177e-006,-0.000333333
-4.9172e-006,0.00166667
-4.9167e-006,0.003
-4.9162e-006,0.00633333
-4.9157e-006,0.00633333
-4.9152e-006,0.00833333
-4.9147e-006,0.0143333
-4.9142e-006,0.015
-4.9137e-006,0.0116667
-4.9132e-006,0.0123333
-4.9127e-006,0.0123333
-4.9122e-006,0.0123333
-4.9117e-006,0.009
-4.9112e-006,0.009
-4.9107e-006,0.011
-4.9102e-006,0.00966667
-4.9097e-006,0.007
-4.9092e-006,0.00433333
-4.9087e-006,0.00766667
-4.9082e-006,0.00766667
-4.9077e-006,0.00433333
-4.9072e-006,0.005
-4.9067e-006,0.00566667
-4.9062e-006,0.007
-4.9057e-006,0.00633333
-4.9052e-006,0.009
-4.9047e-006,0.0143333
-4.9042e-006,0.017
-4.9037e-006,0.0136667
-4.9032e-006,0.0136667
-4.9027e-006,0.0156667
-4.9022e-006,0.015
-4.9017e-006,0.015
-4.9012e-006,0.0116667
-4.9007e-006,0.013
-4.9002e-006,0.0116667
-4.8997e-006,0.00833333
-4.8992e-006,0.00366667
-4.8987e-006,0.005
-4.8982e-006,0.007
-4.8977e-006,0.00166667
-4.8972e-006,0.00166667
-4.8967e-006,0.005
-4.8962e-006,0.00566667
-4.8957e-006,0.00566667
-4.8952e-006,0.00566667
-4.8947e-006,0.00966667
-4.8942e-006,0.0136667
-4.8937e-006,0.0123333
-4.8932e-006,0.00833333
-4.8927e-006,0.0123333
-4.8922e-006,0.011
-4.8917e-006,0.0116667
