LECROYWS3054,13845,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,30-Nov-2016 17:01:28,0                 
Time,Ampl
2.40755e-007,0.268333
2.41255e-007,0.281667
2.41755e-007,0.295
2.42255e-007,0.301667
2.42755e-007,0.288333
2.43255e-007,0.288333
2.43755e-007,0.288333
2.44255e-007,0.288333
2.44755e-007,0.275
2.45255e-007,0.275
2.45755e-007,0.275
2.46255e-007,0.268333
2.46755e-007,0.248333
2.47255e-007,0.241667
2.47755e-007,0.248333
2.48255e-007,0.255
2.48755e-007,0.241667
2.49255e-007,0.255
2.49755e-007,0.261667
2.50255e-007,0.268333
2.50755e-007,0.268333
2.51255e-007,0.275
2.51755e-007,0.295
2.52255e-007,0.301667
2.52755e-007,0.295
2.53255e-007,0.288333
2.53755e-007,0.288333
2.54255e-007,0.288333
2.54755e-007,0.275
2.55255e-007,0.275
2.55755e-007,0.275
2.56255e-007,0.268333
2.56755e-007,0.261667
2.57255e-007,0.248333
2.57755e-007,0.248333
2.58255e-007,0.255
2.58755e-007,0.241667
2.59255e-007,0.248333
2.59755e-007,0.255
2.60255e-007,0.268333
2.60755e-007,0.268333
2.61255e-007,0.268333
2.61755e-007,0.281667
2.62255e-007,0.295
2.62755e-007,0.295
2.63255e-007,0.295
2.63755e-007,0.281667
2.64255e-007,0.288333
2.64755e-007,0.281667
2.65255e-007,0.275
2.65755e-007,0.275
2.66255e-007,0.268333
2.66755e-007,0.261667
2.67255e-007,0.248333
2.67755e-007,0.235
2.68255e-007,0.248333
2.68755e-007,0.241667
2.69255e-007,0.241667
2.69755e-007,0.248333
2.70255e-007,0.255
2.70755e-007,0.261667
2.71255e-007,0.268333
2.71755e-007,0.275
2.72255e-007,0.295
2.72755e-007,0.295
2.73255e-007,0.295
2.73755e-007,0.281667
2.74255e-007,0.288333
2.74755e-007,0.281667
2.75255e-007,0.275
2.75755e-007,0.268333
2.76255e-007,0.268333
2.76755e-007,0.261667
2.77255e-007,0.255
2.77755e-007,0.235
2.78255e-007,0.248333
2.78755e-007,0.248333
2.79255e-007,0.235
2.79755e-007,0.248333
2.80255e-007,0.255
2.80755e-007,0.261667
2.81255e-007,0.268333
2.81755e-007,0.275
2.82255e-007,0.295
2.82755e-007,0.295
2.83255e-007,0.295
2.83755e-007,0.288333
2.84255e-007,0.288333
2.84755e-007,0.288333
2.85255e-007,0.275
2.85755e-007,0.275
2.86255e-007,0.268333
2.86755e-007,0.268333
2.87255e-007,0.261667
2.87755e-007,0.241667
2.88255e-007,0.241667
2.88755e-007,0.255
2.89255e-007,0.241667
2.89755e-007,0.248333
2.90255e-007,0.255
2.90755e-007,0.261667
2.91255e-007,0.268333
2.91755e-007,0.268333
2.92255e-007,0.288333
2.92755e-007,0.295
2.93255e-007,0.295
2.93755e-007,0.295
2.94255e-007,0.281667
2.94755e-007,0.295
2.95255e-007,0.281667
2.95755e-007,0.268333
2.96255e-007,0.281667
2.96755e-007,0.268333
2.97255e-007,0.268333
2.97755e-007,0.248333
2.98255e-007,0.241667
2.98755e-007,0.255
2.99255e-007,0.241667
2.99755e-007,0.248333
3.00255e-007,0.248333
3.00755e-007,0.255
3.01255e-007,0.261667
3.01755e-007,0.268333
3.02255e-007,0.281667
3.02755e-007,0.295
3.03255e-007,0.295
3.03755e-007,0.295
3.04255e-007,0.281667
3.04755e-007,0.295
3.05255e-007,0.281667
3.05755e-007,0.268333
3.06255e-007,0.281667
3.06755e-007,0.268333
3.07255e-007,0.268333
3.07755e-007,0.255
3.08255e-007,0.235
3.08755e-007,0.248333
3.09255e-007,0.248333
3.09755e-007,0.248333
3.10255e-007,0.248333
3.10755e-007,0.255
3.11255e-007,0.268333
3.11755e-007,0.261667
3.12255e-007,0.275
3.12755e-007,0.295
3.13255e-007,0.295
3.13755e-007,0.295
3.14255e-007,0.288333
3.14755e-007,0.288333
3.15255e-007,0.288333
3.15755e-007,0.275
3.16255e-007,0.281667
3.16755e-007,0.268333
3.17255e-007,0.268333
3.17755e-007,0.261667
3.18255e-007,0.235
3.18755e-007,0.248333
3.19255e-007,0.255
3.19755e-007,0.248333
3.20255e-007,0.255
3.20755e-007,0.248333
3.21255e-007,0.268333
3.21755e-007,0.268333
3.22255e-007,0.268333
3.22755e-007,0.288333
3.23255e-007,0.295
3.23755e-007,0.295
3.24255e-007,0.288333
3.24755e-007,0.281667
3.25255e-007,0.295
3.25755e-007,0.281667
3.26255e-007,0.275
3.26755e-007,0.275
3.27255e-007,0.268333
3.27755e-007,0.268333
3.28255e-007,0.248333
3.28755e-007,0.241667
3.29255e-007,0.255
3.29755e-007,0.248333
3.30255e-007,0.255
3.30755e-007,0.248333
3.31255e-007,0.268333
3.31755e-007,0.268333
3.32255e-007,0.268333
3.32755e-007,0.275
3.33255e-007,0.295
3.33755e-007,0.295
3.34255e-007,0.295
3.34755e-007,0.281667
3.35255e-007,0.288333
3.35755e-007,0.281667
3.36255e-007,0.281667
3.36755e-007,0.281667
3.37255e-007,0.275
3.37755e-007,0.275
3.38255e-007,0.261667
3.38755e-007,0.241667
3.39255e-007,0.248333
3.39755e-007,0.248333
3.40255e-007,0.241667
3.40755e-007,0.248333
3.41255e-007,0.255
3.41755e-007,0.268333
3.42255e-007,0.261667
3.42755e-007,0.275
3.43255e-007,0.288333
3.43755e-007,0.301667
3.44255e-007,0.288333
3.44755e-007,0.281667
3.45255e-007,0.288333
3.45755e-007,0.281667
3.46255e-007,0.275
3.46755e-007,0.268333
3.47255e-007,0.268333
3.47755e-007,0.268333
3.48255e-007,0.268333
3.48755e-007,0.248333
3.49255e-007,0.248333
3.49755e-007,0.255
3.50255e-007,0.248333
3.50755e-007,0.248333
3.51255e-007,0.248333
3.51755e-007,0.255
3.52255e-007,0.268333
3.52755e-007,0.261667
3.53255e-007,0.281667
3.53755e-007,0.301667
3.54255e-007,0.295
3.54755e-007,0.301667
3.55255e-007,0.288333
3.55755e-007,0.295
3.56255e-007,0.281667
3.56755e-007,0.268333
3.57255e-007,0.268333
3.57755e-007,0.261667
3.58255e-007,0.268333
3.58755e-007,0.248333
3.59255e-007,0.241667
3.59755e-007,0.261667
3.60255e-007,0.255
3.60755e-007,0.248333
3.61255e-007,0.255
3.61755e-007,0.255
3.62255e-007,0.261667
3.62755e-007,0.261667
3.63255e-007,0.275
3.63755e-007,0.288333
3.64255e-007,0.295
3.64755e-007,0.295
3.65255e-007,0.295
3.65755e-007,0.295
3.66255e-007,0.288333
3.66755e-007,0.268333
3.67255e-007,0.275
3.67755e-007,0.268333
3.68255e-007,0.268333
3.68755e-007,0.255
3.69255e-007,0.241667
3.69755e-007,0.255
3.70255e-007,0.261667
3.70755e-007,0.248333
3.71255e-007,0.255
3.71755e-007,0.255
3.72255e-007,0.268333
3.72755e-007,0.261667
3.73255e-007,0.268333
3.73755e-007,0.281667
3.74255e-007,0.295
3.74755e-007,0.295
3.75255e-007,0.288333
3.75755e-007,0.288333
3.76255e-007,0.288333
3.76755e-007,0.275
3.77255e-007,0.275
3.77755e-007,0.268333
3.78255e-007,0.275
3.78755e-007,0.261667
3.79255e-007,0.248333
3.79755e-007,0.241667
3.80255e-007,0.255
3.80755e-007,0.248333
3.81255e-007,0.255
3.81755e-007,0.255
3.82255e-007,0.268333
3.82755e-007,0.268333
3.83255e-007,0.268333
3.83755e-007,0.281667
3.84255e-007,0.295
3.84755e-007,0.295
3.85255e-007,0.295
3.85755e-007,0.288333
