Freq.	V(vout)
1.05681750921366e+000	(-1.91050034879859e-003dB,-3.43095979991423e-004°)
1.05925372517729e+000	(-1.91049949394258e-003dB,-3.43886897924101e-004°)
1.06169555719872e+000	(-1.91049863513677e-003dB,-3.44679639149698e-004°)
1.06414301822431e+000	(-1.91049777237732e-003dB,-3.45474207767283e-004°)
1.06659612123026e+000	(-1.91049690559092e-003dB,-3.46270608124534e-004°)
1.06905487922266e+000	(-1.91049603485473e-003dB,-3.47068844334830e-004°)
1.07151930523761e+000	(-1.91049516008676e-003dB,-3.47868920683907e-004°)
1.07398941234124e+000	(-1.91049428126772e-003dB,-3.48670841395555e-004°)
1.07646521362983e+000	(-1.91049339839280e-003dB,-3.49474610696745e-004°)
1.07894672222983e+000	(-1.91049251143112e-003dB,-3.50280232942729e-004°)
1.08143395129794e+000	(-1.91049162041452e-003dB,-3.51087712252868e-004°)
1.08392691402120e+000	(-1.91049072527162e-003dB,-3.51897053071775e-004°)
1.08642562361706e+000	(-1.91048982597445e-003dB,-3.52708259580378e-004°)
1.08893009333343e+000	(-1.91048892254615e-003dB,-3.53521336099397e-004°)
1.09144033644876e+000	(-1.91048801493464e-003dB,-3.54336287004760e-004°)
1.09395636627209e+000	(-1.91048710316404e-003dB,-3.55153116543732e-004°)
1.09647819614318e+000	(-1.91048618715333e-003dB,-3.55971829035067e-004°)
1.09900583943252e+000	(-1.91048526692082e-003dB,-3.56792428917846e-004°)
1.10153930954141e+000	(-1.91048434244820e-003dB,-3.57614920401624e-004°)
1.10407861990207e+000	(-1.91048341369013e-003dB,-3.58439307977130e-004°)
1.10662378397766e+000	(-1.91048248066011e-003dB,-3.59265595941686e-004°)
1.10917481526240e+000	(-1.91048154333211e-003dB,-3.60093788712566e-004°)
1.11173172728159e+000	(-1.91048060165789e-003dB,-3.60923890668120e-004°)
1.11429453359173e+000	(-1.91047965563456e-003dB,-3.61755906196240e-004°)
1.11686324778056e+000	(-1.91047870529202e-003dB,-3.62589839705870e-004°)
1.11943788346715e+000	(-1.91047775052128e-003dB,-3.63425695643287e-004°)
1.12201845430196e+000	(-1.91047679134163e-003dB,-3.64263478430159e-004°)
1.12460497396692e+000	(-1.91047582775404e-003dB,-3.65103192486561e-004°)
1.12719745617551e+000	(-1.91047485970545e-003dB,-3.65944842279445e-004°)
1.12979591467280e+000	(-1.91047388718622e-003dB,-3.66788432326196e-004°)
1.13240036323556e+000	(-1.91047291017513e-003dB,-3.67633967031821e-004°)
1.13501081567231e+000	(-1.91047192867603e-003dB,-3.68481450840250e-004°)
1.13762728582343e+000	(-1.91047094262045e-003dB,-3.69330888385642e-004°)
1.14024978756117e+000	(-1.91046995204600e-003dB,-3.70182284043241e-004°)
1.14287833478977e+000	(-1.91046895685527e-003dB,-3.71035642333237e-004°)
1.14551294144553e+000	(-1.91046795710998e-003dB,-3.71890967842153e-004°)
1.14815362149688e+000	(-1.91046695273490e-003dB,-3.72748265125543e-004°)
1.15080038894443e+000	(-1.91046594372521e-003dB,-3.73607538639682e-004°)
1.15345325782109e+000	(-1.91046493003461e-003dB,-3.74468793017969e-004°)
1.15611224219210e+000	(-1.91046391169299e-003dB,-3.75332032796117e-004°)
1.15877735615512e+000	(-1.91046288865118e-003dB,-3.76197262499918e-004°)
1.16144861384034e+000	(-1.91046186086383e-003dB,-3.77064486756034e-004°)
1.16412602941049e+000	(-1.91046082835988e-003dB,-3.77933710205437e-004°)
1.16680961706096e+000	(-1.91045979109015e-003dB,-3.78804937454947e-004°)
1.16949939101987e+000	(-1.91045874900736e-003dB,-3.79678173047852e-004°)
1.17219536554813e+000	(-1.91045770212405e-003dB,-3.80553421670408e-004°)
1.17489755493953e+000	(-1.91045665041709e-003dB,-3.81430687966392e-004°)
1.17760597352080e+000	(-1.91045559386428e-003dB,-3.82309976475530e-004°)
1.18032063565173e+000	(-1.91045453240968e-003dB,-3.83191292054467e-004°)
1.18304155572516e+000	(-1.91045346608801e-003dB,-3.84074639257241e-004°)
1.18576874816716e+000	(-1.91045239482018e-003dB,-3.84960022745122e-004°)
1.18850222743702e+000	(-1.91045131862355e-003dB,-3.85847447286609e-004°)
1.19124200802737e+000	(-1.91045023742772e-003dB,-3.86736917588255e-004°)
1.19398810446427e+000	(-1.91044915126161e-003dB,-3.87628438293078e-004°)
1.19674053130724e+000	(-1.91044806008955e-003dB,-3.88522014151329e-004°)
