Freq.	V(vout)
1.09647819614318e+006	(4.06833375218927e-002dB,-1.08907081347484e+001°)
1.09900583943252e+006	(4.08795592524664e-002dB,-1.09160125893082e+001°)
1.10153930954141e+006	(4.10766608608497e-002dB,-1.09413767456205e+001°)
1.10407861990207e+006	(4.12746461687175e-002dB,-1.09668007506963e+001°)
1.10662378397766e+006	(4.14735190131751e-002dB,-1.09922847519495e+001°)
1.10917481526240e+006	(4.16732832468162e-002dB,-1.10178288971981e+001°)
1.11173172728159e+006	(4.18739427376877e-002dB,-1.10434333346652e+001°)
1.11429453359173e+006	(4.20755013694744e-002dB,-1.10690982129811e+001°)
1.11686324778056e+006	(4.22779630414585e-002dB,-1.10948236811840e+001°)
1.11943788346715e+006	(4.24813316685577e-002dB,-1.11206098887218e+001°)
1.12201845430196e+006	(4.26856111814421e-002dB,-1.11464569854532e+001°)
1.12460497396692e+006	(4.28908055265284e-002dB,-1.11723651216492e+001°)
1.12719745617551e+006	(4.30969186660962e-002dB,-1.11983344479948e+001°)
1.12979591467279e+006	(4.33039545782480e-002dB,-1.12243651155898e+001°)
1.13240036323555e+006	(4.35119172570309e-002dB,-1.12504572759507e+001°)
1.13501081567231e+006	(4.37208107124655e-002dB,-1.12766110810118e+001°)
1.13762728582343e+006	(4.39306389705933e-002dB,-1.13028266831271e+001°)
1.14024978756116e+006	(4.41414060735274e-002dB,-1.13291042350710e+001°)
1.14287833478977e+006	(4.43531160795143e-002dB,-1.13554438900403e+001°)
1.14551294144553e+006	(4.45657730629858e-002dB,-1.13818458016557e+001°)
1.14815362149688e+006	(4.47793811145535e-002dB,-1.14083101239627e+001°)
1.15080038894443e+006	(4.49939443411746e-002dB,-1.14348370114335e+001°)
1.15345325782109e+006	(4.52094668660607e-002dB,-1.14614266189684e+001°)
1.15611224219209e+006	(4.54259528288863e-002dB,-1.14880791018972e+001°)
1.15877735615512e+006	(4.56434063857092e-002dB,-1.15147946159806e+001°)
1.16144861384034e+006	(4.58618317090579e-002dB,-1.15415733174118e+001°)
1.16412602941049e+006	(4.60812329880510e-002dB,-1.15684153628179e+001°)
1.16680961706096e+006	(4.63016144282873e-002dB,-1.15953209092616e+001°)
1.16949939101987e+006	(4.65229802521319e-002dB,-1.16222901142425e+001°)
1.17219536554813e+006	(4.67453346985217e-002dB,-1.16493231356984e+001°)
1.17489755493952e+006	(4.69686820232055e-002dB,-1.16764201320074e+001°)
1.17760597352080e+006	(4.71930264986930e-002dB,-1.17035812619889e+001°)
1.18032063565172e+006	(4.74183724143206e-002dB,-1.17308066849054e+001°)
1.18304155572516e+006	(4.76447240763534e-002dB,-1.17580965604638e+001°)
1.18576874816715e+006	(4.78720858079167e-002dB,-1.17854510488172e+001°)
1.18850222743701e+006	(4.81004619492341e-002dB,-1.18128703105664e+001°)
1.19124200802737e+006	(4.83298568574840e-002dB,-1.18403545067612e+001°)
1.19398810446427e+006	(4.85602749069994e-002dB,-1.18679037989022e+001°)
1.19674053130724e+006	(4.87917204892105e-002dB,-1.18955183489425e+001°)
1.19949930314937e+006	(4.90241980127926e-002dB,-1.19231983192888e+001°)
1.20226443461741e+006	(4.92577119036121e-002dB,-1.19509438728035e+001°)
